c1,state,county,hbp,chd,dm,ob,hc,ckd,hpsa,aqi,cold_wave,heat_wave,ice_storm,winter_weather,enviro_hazard,lead_paint,low_income,access_healthy_food,percent_area_parks,respiratory_hazard,road_noise,traffic_proximity_volume,vehicles_available,walkability,walkability_to_transit,minority_proportion,fam_bel_pov,vacancy,property,gini_index,diffusion_score,party,metro,farming,mining,manufacturing,government,recreation,nonspecialized,low_education,low_employment,pop_loss,retirement_dest,persistent_poverty,persistent_related_child_poverty,pct_dem_lead_2000,pct_dem_lead_2004,pct_dem_lead_2008,pct_dem_lead_2012,pct_dem_lead_2016,pct_dem_lead_2020,change_2000_to_2004,change_2004_to_2008,change_2008_to_2012,change_2012_to_2016,change_2016_to_2020,total_magnitude_of_change,cumulative_change,volatility,change_2000_to_2020,d_2004_2000,d_2008_2004,d_2012_2008,d_2016_2012,d_2020_2016,d_2020_2000,d_average,dem_land,min_prop
587,la,union,0.649484536,0.462264151,0.592307692,0.78978389,0.836644592,0.609375,0.005995204,0.540126716,0,0.1077,0.1442,0.1102,0.1363,0.319387525,0.387437252,0.914305848,0.000963597,0.578303452,0,0.112996716,0.000797964,0.250312891,0.052631579,0.404666107,0.003939686,0.009107452,0.007124961,0.652480122,0.119859823,0.303588862,0,0,0,0,0,0,1,1,1,1,0,1,1,-0.438485397,-0.458215297,-0.334976888,-0.314513654,-0.401780038,-0.385151723,0.044995571,-0.268953068,-0.061088492,0.277464531,-0.041386612,0.693888274,-0.048968071,0.176811765,0.869382024,-0.13278757,-0.007993117,-0.001150311,-0.068080105,-0.028852601,-0.238863707,0.105086386,1,3
1970,tn,jackson,0.298969072,0.29245283,0.357692308,0.728880157,0.74392936,0.4375,0.004796163,0.214801126,0.2863,0.0823,0.0783,0.1482,0.0913,0.213786098,0.359314521,0.686901292,0.021627409,0.085778634,0.5,0.184264234,0.004373522,0.457446809,0.052631579,0.166259172,0.005229359,0.01149122,0.024405773,0.373702318,0.163812832,0.429108885,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.110124817,-0.109381238,-0.006537105,-0.098226684,-0.159282541,-0.15918559,-0.006752148,-0.940235588,14.02602139,0.621581166,-0.000608673,15.59519896,13.70000614,5.665010051,-2.387569427,-0.211471379,-0.183734313,-0.162584439,-0.31786713,-0.088611439,-0.964268684,-0.558639705,1,2
2902,ky,bell,0.775773196,0.5,0.734615385,0.901768173,0.823399558,0.734375,0.009592326,0.386659627,0,0.2401,0.2054,0.1922,0.146,0.45211063,0.678950353,0.9287968,0.007922912,0.496858794,0,0.275752006,0.00221053,0.366082603,0.052631579,0.6867657,0.007954455,0.013874989,0.009803773,0.608102815,0.092573411,0.688739506,0,0,0,0,0,0,1,1,0,0,0,0,1,0.265105629,0.28584196,0.355009131,0.381190044,0.322337963,0.307988941,0.07821913,0.241976968,0.073747153,-0.154390394,-0.044515459,0.592849105,0.195037399,0.132905854,7.407925129,-0.15311715,-0.177908346,-0.110854536,-0.104853667,-0.010379131,-0.557112813,1.141802073,1,3
1793,mo,hickory,0.412371134,0.330188679,0.434615385,0.707269155,0.754966887,0.484375,0,0.291182682,0.2735,0.1847,0.2384,0.2241,0.1619,0.225540256,0.484477339,0.789872951,0.01862955,0.171126093,0.5,0.238095497,0.011203754,0.658322904,0.631578947,0.203448659,0.020966018,0.038995542,0.04466963,0.454157872,0.158807012,0.493374513,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.130731814,-0.181116645,0.043625035,-0.086089695,-0.091864638,-0.043607759,0.385406041,-1.240867067,-2.973401172,0.067080529,-0.525304182,5.192058992,-4.287085851,1.194489572,10.50555992,-0.103932053,0.020972865,-0.102723263,-0.299246252,-0.038118303,-0.52304703,1.663752198,1,2
1528,va,bedford,0.680412371,0.452830189,0.665384615,0.829076621,0.777041943,0.6875,0.002398082,0.372052094,0,0,0.1588,0,0.0628,0.484449666,0.542401825,0.97654972,0.003104925,0.51070529,0.5,0.37097353,0.000553481,0.455569462,0.052631579,0.633951265,0.001183672,0.002110818,0.001488456,0.297741133,0.130886843,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.216687025,-0.272060478,-0.228179993,0.306651376,0.26977887,-0.376683275,0.255545769,-0.16128945,-2.343901243,-0.120242429,-2.396266784,5.277245676,-4.766154138,1.166061633,3.443586826,-0.330077171,0.302617848,-0.001958959,-0.383599073,0.143568307,-0.269449025,0.529022992,1,3
1592,va,richmond_city,0.451030928,0.367924528,0.480769231,0.713163065,0.794701987,0.453125,0,0.316349877,0.1055,0.056,0.0462,0.0812,0.0547,0.122056294,0.44840292,0.860061071,0.01124197,0.138933175,0.5,0.098714212,0.001747032,0.394242804,0.052631579,0.173207378,0.004646356,0.008643436,0.012603216,0.410313904,0.221436314,0.459294724,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.01286688,-0.061921673,0.048214682,-0.038847231,-0.152648362,-0.104898386,3.812485451,-1.778639848,-1.805713729,2.929452838,-0.312810272,10.63910214,2.84477444,2.36728549,-1.618471622,0.070199877,-0.537332296,0.699199438,-0.809178054,0.02591843,-0.551192641,-0.361610711,1,2
3296,ok,coal,0.590206186,0.698113208,0.561538462,0.754420432,0.940397351,0.65625,0.007194245,0.163058782,0.2332,0,0.0664,0.1132,0.0513,0.207413036,0.375537455,0.821709658,0.000963597,0.046546155,0,0.036420384,0.000507641,0.374843554,0.052631579,0.047515375,0.001497257,0.004139751,0.009473778,0.076589104,0.038688805,0.355621856,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.059039548,-0.073177222,0.015456362,-0.085028249,-0.289276808,-0.291347076,0.23946108,-1.211218218,-6.501181083,2.402125914,0.007156701,10.361143,-5.063655606,2.981002689,22.60986137,-0.053937569,-0.397571653,0.022064136,-0.170074746,0.140047625,-0.459472209,3.691731691,1,1
103,tx,freestone,0.358247423,0.311320755,0.453846154,0.730844794,0.779249448,0.453125,0,0.378035903,0,0.0997,0.085,0.0889,0.1175,0.112290837,0.403953085,0.841939376,0.00856531,0.229222107,0.5,0.174206669,0.002239393,0.381727159,0.052631579,0.292847837,0.015484908,0.018888181,0.036662636,0.597751826,0.170278734,0.222910936,1,0,1,0,1,0,0,1,1,0,0,0,0,-0.372462945,-0.474315718,-0.474985015,-0.556226709,-0.579696559,-0.529908359,0.273457468,0.001411078,0.171040541,0.042194757,-0.085886659,0.573990502,0.402217184,0.127151113,1.114578247,-0.126351044,-0.017978279,-0.066354312,-0.091337107,-0.022064568,-0.324085325,0.131748825,1,2
836,oh,coshocton,0.309278351,0.311320755,0.373076923,0.559921415,0.675496689,0.453125,0.058752998,0.331837381,0.4364,0.1676,0.1499,0.241,0.1663,0.287418886,0.444680079,0.69897431,0.056316916,0.2339028,1,0.264956754,0.122815149,0.794743429,0.684210526,0.223599024,0.093792787,0.285852061,0.239243962,0.485340377,0.214632624,0.631044356,1,0,1,0,0,0,0,0,0,1,0,0,0,0.162413001,0.150258184,0.154757592,0.145717358,0.166335443,0.203882551,-0.074838939,0.029944507,-0.058415443,0.141493674,0.225731255,0.530423817,0.263915054,0.115719257,1.638550997,0.037956733,0.089232273,-0.033656627,-0.343314558,-0.054431561,-0.304213732,0.222389534,1,2
130,tx,orange,0.62371134,0.660377358,0.665384615,0.797642436,0.847682119,0.6875,0.008393285,0.380587821,0,0,0.1498,0.1527,0.1168,0.328056097,0.590440765,0.888653291,0.004710921,0.496946214,0,0.144463536,0.000874365,0.321026283,0.052631579,0.387056133,0.002482179,0.01607679,0.010380754,0.700887281,0.115123837,0.237982217,0,0,1,0,1,0,0,1,1,0,0,0,1,-0.300509956,-0.332387009,-0.372912801,-0.440102264,-0.506045732,-0.502860776,0.106076527,0.121923516,0.180174729,0.149836692,-0.006293812,0.564305276,0.551717653,0.063549475,2.458604097,-0.092912681,-0.195140049,-0.071392782,-0.075235315,-0.016182097,-0.450862914,0.334623545,1,3
3192,mo,scott,0.412371134,0.452830189,0.484615385,0.756385069,0.766004415,0.5,0.014388489,0.255191834,0.1606,0.0568,0.0978,0.1403,0.0787,0.151517994,0.372627983,0.86687848,0.002997859,0.082770781,0,0.051293763,0.001366726,0.34543179,0.052631579,0.039065291,0.003855769,0.007278683,0.011498323,0.081590031,0.037530421,0.198184492,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.264284928,-0.305737007,-0.312494048,-0.363131538,-0.540773158,-0.574487597,0.15684617,0.02210083,0.162043055,0.489193587,0.062344882,0.892528524,0.892528524,0.164452386,2.485270262,-0.140024304,0.007915162,-0.088137135,-0.173488319,-0.009346343,-0.40308094,0.347031534,1,1
1659,va,franklin_city,0.402061856,0.245283019,0.423076923,0.644400786,0.730684327,0.453125,0.068345324,0.3781239,0.1944,0.1298,0.1586,0.1654,0.1167,0.267353836,0.426580137,0.674574938,0.0375803,0.350700845,1,0.360917778,0.041916879,0.66583229,0.526315789,0.442784484,0.057770279,0.080201983,0.12323803,0.714553409,0.232324287,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.684055425,0.649887855,0.754992519,0.7610362,0.741297065,0.073494174,-0.04994854,0.161727386,0.008004954,-0.025937183,-0.900857325,1.146475389,-0.807010707,0.377008776,-4.24863863,-0.031957898,-0.312173218,0.534831345,-0.726064801,0.042730168,-0.492634386,-0.790212214,1,3
384,tx,fisher,0.304123711,0.349056604,0.511538462,0.719056974,0.74392936,0.46875,0.001199041,0.196321718,0.2377,0.046,0.1169,0.2694,0.1447,0.380849657,0.417953825,0.715025067,0.000321199,0.137396651,0,0.385587721,0.00036163,0.420525657,0.052631579,0.688261316,0.000216418,0.00303885,0.002658775,0.552085463,0.045415466,0.211202675,1,0,0,0,0,1,0,0,1,0,1,0,0,-0.526794258,-0.562603648,-0.404145078,-0.480726872,-0.528165086,-0.551075269,0.067976045,-0.281652227,0.189490851,0.09868018,0.043376935,0.681176237,0.117871782,0.160434465,12.37631035,-0.164696589,-0.012404711,-0.135301307,-0.141279683,-0.101664983,-0.555347264,1.970160484,1,3
3199,il,pulaski,0.43556701,0.518867925,0.515384615,0.73280943,0.783664459,0.53125,0.014388489,0.239968321,0.1598,0.0667,0.0964,0.1574,0.0914,0.207347859,0.406022181,0.84915839,0.010492505,0.062166247,0,0.096919837,0.001634977,0.372966208,0.052631579,0.040990179,0.004527105,0.011336548,0.012743883,0.080937226,0.040458594,0.163657868,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.304121717,-0.39738572,-0.361570969,-0.444155742,-0.609872861,-0.636581411,0.306666698,-0.090125914,0.228405431,0.373105881,0.043793635,1.042097559,0.861845731,0.171409716,-11.55349255,-0.141146824,0.125730574,-0.072036527,-0.202419639,-0.047232132,-0.337104559,-1.981766105,1,1
